id,day,task_text,correct_answer,explanation_ru,explanation_pl,section,topic,format,type,task_id,is_free,createdAt,updatedAt
88,88,"___ drzwi, proszę. A) zamknij B) zamykasz C) zamknął D) zamykają",zamknij,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,88,0,2025-12-28T18:13:56.760Z,2025-12-28T18:15:48.158Z
89,89,___ mi prawdę. A) powiedz B) mówisz C) powiedział D) powiadają,powiedz,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,89,0,2025-12-28T18:13:56.761Z,2025-12-28T18:15:49.200Z
90,90,___ szybciej! A) idź B) idziesz C) szedł D) idą,idź,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,90,0,2025-12-28T18:13:56.762Z,2025-12-28T18:15:50.207Z
91,91,___ mi chwilę. A) daj B) dajesz C) dał D) dają,daj,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,91,0,2025-12-28T18:13:56.763Z,2025-12-28T18:15:51.578Z
92,92,___ ostrożny. A) bądź B) byłeś C) jest D) byli,bądź,Nieregularna forma rozkazu.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,92,0,2025-12-28T18:13:56.764Z,2025-12-28T18:15:52.846Z
93,93,___ to teraz. A) weź B) bierzesz C) wziął D) wezmą,weź,Nieregularna forma rozkazu.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,93,0,2025-12-28T18:13:56.764Z,2025-12-28T18:15:54.201Z
94,94,___ wcześniej. A) przyjdź B) przychodzisz C) przyszedł D) przychodzą,przyjdź,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,94,0,2025-12-28T18:13:56.765Z,2025-12-28T18:15:55.051Z
95,95,___ się tym dziś. A) zajmij B) zajmujesz C) zajął D) zajmują,zajmij,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,95,0,2025-12-28T18:13:56.766Z,2025-12-28T18:15:57.348Z
96,96,___ mnie uważnie. A) słuchaj B) słuchasz C) słucha D) słuchali,słuchaj,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,96,0,2025-12-28T18:13:56.766Z,2025-12-28T18:15:58.289Z
97,97,___ to dokładnie. A) sprawdź B) sprawdzasz C) sprawdził D) sprawdzają,sprawdź,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,97,0,2025-12-28T18:13:56.767Z,2025-12-28T18:15:59.591Z
98,98,___ mi znać jutro. A) daj B) dajesz C) dał D) dają,daj,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,98,0,2025-12-28T18:13:56.767Z,2025-12-28T18:16:00.583Z
99,99,___ to proszę. A) zrób B) robisz C) zrobi D) robią,zrób,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,99,0,2025-12-28T18:13:56.768Z,2025-12-28T18:16:03.934Z
100,100,___ mi numer telefonu. A) podaj B) podajesz C) podał D) podają,podaj,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,100,0,2025-12-28T18:13:56.769Z,2025-12-28T18:16:06.220Z
101,101,"Mimo ___ pogody, zdecydowaliśmy się na długi spacer po lesie. A) niesprzyjającej B) niesprzyjającą C) niesprzyjające D) niesprzyjającym",niesprzyjającej,Предлог 'mimo' требует родительного падежа (Dopełniacz). Правильная форма женского рода: 'niesprzyjającej'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,101,1,2025-12-29T11:08:02.300Z,2025-12-29T11:08:02.300Z
102,102,Nie wyobrażam sobie życia bez ___ i wsparcia moich najbliższych. A) przyjaciele B) przyjaciół C) przyjaciołom D) przyjaciółmi,przyjaciół,После предлога 'bez' используется родительный падеж (Dopełniacz). Множественное число от 'przyjaciel' в родительном падеже — 'przyjaciół'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,102,1,2025-12-29T11:08:02.301Z,2025-12-29T11:08:02.301Z
103,103,Dyrektor przyglądał się ___ z dużym zainteresowaniem. A) nowemu projektowi B) nowy projekt C) nowego projektu D) nowym projektem,nowemu projektowi,Глагол 'przyglądać się' требует дательного падежа (Celownik). Форма мужского рода: 'nowemu projektowi'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,103,1,2025-12-29T11:08:02.302Z,2025-12-29T11:08:02.302Z
104,104,Wczoraj spotkałem na ulicy ___ znajomego z czasów liceum. A) starego B) starym C) starego D) staremu,starego,Глагол 'spotkać' требует винительного падежа (Biernik). Для одушевленных существительных мужского рода форма совпадает с родительным падежом: 'starego'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,104,1,2025-12-29T11:08:02.302Z,2025-12-29T11:08:02.302Z
105,105,Interesuję się ___ polską i chciałbym dowiedzieć się o niej więcej. A) historię B) historii C) historią D) historią,historią,Глагол 'interesować się' требует творительного падежа (Narzędnik). Форма женского рода: 'historią'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,105,1,2025-12-29T11:08:02.303Z,2025-12-29T11:08:02.303Z
106,106,Często myślę o ___ spędzonych w górach zeszłego lata. A) chwilach B) chwile C) chwil D) chwilami,chwilach,Предлог 'o' в значении размышления требует предложного падежа (Miejscownik). Множественное число: 'chwilach'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,106,1,2025-12-29T11:08:02.304Z,2025-12-29T11:08:02.304Z
107,107,"Szukam ___ , która pomogłaby mi w nauce języka polskiego. A) osoby B) osobę C) osobie D) osobą",osoby,Глагол 'szukać' требует родительного падежа (Dopełniacz). Форма женского рода: 'osoby'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,107,0,2025-12-29T11:08:02.304Z,2025-12-29T11:08:02.304Z
108,108,Podczas konferencji rozmawialiśmy o ___ problemach ekologicznych. A) współczesnych B) współczesne C) współczesnym D) współczesnymi,współczesnych,Предлог 'o' требует предложного падежа (Miejscownik). Множественное число прилагательного: 'współczesnych'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,108,0,2025-12-29T11:08:02.305Z,2025-12-29T11:08:02.305Z
109,109,"Nie lubię ___ , które są zbyt głośne i zatłoczone. A) miejsc B) miejsca C) miejscach D) miejscami",miejsc,Глагол 'lubić' в отрицании требует родительного падежа (Dopełniacz). Множественное число от 'miejsce' — 'miejsc'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,109,0,2025-12-29T11:08:02.306Z,2025-12-29T11:08:02.306Z
110,110,Dzięki ___ pomocy udało nam się skończyć projekt na czas. A) twojej B) twoją C) twoim D) twoje,twojej,Предлог 'dzięki' требует дательного падежа (Celownik). Форма женского рода: 'twojej'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,110,0,2025-12-29T11:08:02.306Z,2025-12-29T11:08:02.306Z
111,111,Zawsze marzyłem o ___ w wielkim mieście. A) mieszkaniu B) mieszkanie C) mieszkania D) mieszkaniem,mieszkaniu,Глагол 'marzyć o' требует предложного падежа (Miejscownik). Форма среднего рода: 'mieszkaniu'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,111,0,2025-12-29T11:08:02.307Z,2025-12-29T11:08:02.307Z
112,112,W tym sklepie nie ma ___ produktów spożywczych. A) świeżych B) świeże C) świeżym D) świeżymi,świeżych,Конструкция 'nie ma' требует родительного падежа (Dopełniacz). Множественное число: 'świeżych'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,112,0,2025-12-29T11:08:02.308Z,2025-12-29T11:08:02.308Z
113,113,Czy możesz podać mi ten ___ nóż? A) ostry B) ostrego C) ostrym D) ostremu,ostry,Глагол 'podać' требует винительного падежа (Biernik). Для неодушевленных предметов мужского рода форма совпадает с именительным: 'ostry'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,113,0,2025-12-29T11:08:02.309Z,2025-12-29T11:08:02.309Z
114,114,"Zadzwonię do ___ jutro rano, żeby ustalić szczegóły. A) pana B) panu C) panem D) pan",pana,Предлог 'do' требует родительного падежа (Dopełniacz). Форма слова 'pan' — 'pana'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,114,0,2025-12-29T11:08:02.310Z,2025-12-29T11:08:02.310Z
115,115,On zawsze kieruje się ___ w życiu. A) logiką B) logikę C) logiki D) logice,logiką,Глагол 'kierować się' требует творительного падежа (Narzędnik). Форма женского рода: 'logiką'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,115,0,2025-12-29T11:08:02.310Z,2025-12-29T11:08:02.310Z
116,116,Wszystkie dzieci czekają na ___ od świętego Mikołaja. A) prezenty B) prezentów C) prezentach D) prezentami,prezenty,Предлог 'na' с глаголом 'czekać' требует винительного падежа (Biernik). Множественное число (неодушевленное): 'prezenty'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,116,0,2025-12-29T11:08:02.311Z,2025-12-29T11:08:02.311Z
117,117,Nie wolno wchodzić do ___ bez pozwolenia. A) budynku B) budynek C) budynkowi D) budynkiem,budynku,Предлог 'do' требует родительного падежа (Dopełniacz). Форма мужского рода: 'budynku'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,117,0,2025-12-29T11:08:02.312Z,2025-12-29T11:08:02.312Z
118,118,Znam tego ___ od wielu lat. A) człowieka B) człowiekowi C) człowiekiem D) człowieku,człowieka,Глагол 'znać' требует винительного падежа (Biernik). Для одушевленных существительных форма совпадает с родительным: 'człowieka'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,118,0,2025-12-29T11:08:02.312Z,2025-12-29T11:08:02.312Z
119,119,"Podaj mi, proszę, tamtą ___ książkę. A) czerwoną B) czerwonej C) czerwoną D) czerwonej",czerwoną,Глагол 'podać' требует винительного падежа (Biernik). Форма женского рода: 'czerwoną'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,119,0,2025-12-29T11:08:02.313Z,2025-12-29T11:08:02.313Z
120,120,On jest bardzo podobny do swojego ___ . A) ojca B) ojcu C) ojcem D) ojciec,ojca,Предлог 'do' требует родительного падежа (Dopełniacz). Форма слова 'ojciec' — 'ojca'.,,POPRAWNOŚĆ GRAMATYCZNA,Fleksja Imienna,single_choice,POPRAWNOŚĆ GRAMATYCZNA,120,0,2025-12-29T11:08:02.313Z,2025-12-29T11:08:02.313Z
121,121,Nie widziałem ___ od bardzo dawna. A) go B) jego C) niego D) mu,go,"В отрицательных предложениях с глаголом 'widzieć' используется родительный падеж. Краткая форма 'go' используется, когда на местоимении нет логического ударения и оно не стоит в начале предложения.",,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,121,1,2025-12-29T11:08:02.314Z,2025-12-29T11:08:02.314Z
122,122,Czekam na ___ przed kinem. A) ciebie B) cię C) tobie D) tobą,ciebie,После предлогов всегда используются полные формы личных местоимений. Правильная форма после 'na' — 'ciebie'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,122,1,2025-12-29T11:08:02.315Z,2025-12-29T11:08:02.315Z
123,123,To jest mój brat. Bardzo ___ lubię. A) go B) jego C) niego D) mu,go,Глагол 'lubić' требует винительного падежа. Краткая форма 'go' является стандартной для безударной позиции в середине предложения.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,123,1,2025-12-29T11:08:02.315Z,2025-12-29T11:08:02.315Z
124,124,Czy możesz ___ pomóc w tym zadaniu? A) mi B) mnie C) mną D) mną,mi,Глагол 'pomóc' требует дательного падежа. Краткая форма 'mi' используется в безударной позиции.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,124,1,2025-12-29T11:08:02.316Z,2025-12-29T11:08:02.316Z
125,125,Oni zawsze myślą tylko o ___ . A) sobie B) siebie C) sobą D) sią,sobie,Предлог 'o' требует предложного падежа. Возвратное местоимение 'się' в предложном падеже имеет форму 'sobie'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,125,1,2025-12-29T11:08:02.317Z,2025-12-29T11:08:02.317Z
126,126,To są moje klucze. Gdzie ___ położyłeś? A) je B) ich C) nimi D) nie,je,Для неодушевленных предметов во множественном числе (не мужско-личностная форма) в винительном падеже используется 'je'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,126,1,2025-12-29T11:08:02.317Z,2025-12-29T11:08:02.317Z
127,127,"Nie lubię ___ , kiedy tak na mnie patrzysz. A) tego B) to C) tym D) temu",tego,Глагол 'lubić' в отрицании требует родительного падежа. Указательное местоимение 'to' в родительном падеже — 'tego'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,127,0,2025-12-29T11:08:02.318Z,2025-12-29T11:08:02.318Z
128,128,"Czy znasz ___ dziewczynę, która tam stoi? A) tę B) tą C) tej D) to",tę,Указательное местоимение 'ta' в винительном падеже (Biernik) имеет форму 'tę'. Форма 'tą' используется в творительном падеже.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,128,0,2025-12-29T11:08:02.319Z,2025-12-29T11:08:02.319Z
129,129,"Podaj ___ tę książkę, proszę. A) mu B) jego C) niego D) go",mu,Глагол 'podać' требует дательного падежа (кому?). Краткая форма для 'on' — 'mu'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,129,0,2025-12-29T11:08:02.319Z,2025-12-29T11:08:02.319Z
130,130,Rozmawiałem z ___ wczoraj wieczorem. A) nią B) jej C) niej D) ją,nią,Предлог 'z' (в значении 'с кем-то') требует творительного падежа. Форма для 'ona' — 'nią'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,130,0,2025-12-29T11:08:02.321Z,2025-12-29T11:08:02.321Z
131,131,"To jest ___ samochód, a tamten jest mój. A) twój B) twojego C) twoim D) twojemu",twój,Притяжательное местоимение в именительном падеже (Mianownik) для мужского рода — 'twój'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,131,0,2025-12-29T11:08:02.322Z,2025-12-29T11:08:02.322Z
132,132,Nie mam ___ czasu na zabawę. A) tyle B) tylu C) tyloma D) tylu,tyle,С неисчисляемыми существительными (как 'czas') в родительном падеже используется форма 'tyle'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,132,0,2025-12-29T11:08:02.323Z,2025-12-29T11:08:02.323Z
133,133,Wszyscy ___ zaprosili na to przyjęcie. A) nas B) nam C) nami D) my,nas,Глагол 'zaprosić' требует винительного падежа. Форма для 'my' — 'nas'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,133,0,2025-12-29T11:08:02.323Z,2025-12-29T11:08:02.323Z
134,134,Czy widziałeś ___ moje okulary? A) gdzieś B) dokądś C) skądś D) kiedyś,gdzieś,Неопределенное наречие места 'gdzieś' (где-то) подходит по смыслу для поиска потерянного предмета.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,134,0,2025-12-29T11:08:02.324Z,2025-12-29T11:08:02.324Z
135,135,On zawsze robi wszystko ___ . A) sam B) samego C) samemu D) самим,sam,Прилагательное-местоимение 'sam' согласуется с подлежащим 'on' в именительном падеже.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,135,0,2025-12-29T11:08:02.325Z,2025-12-29T11:08:02.325Z
136,136,"Daj ___ spokój, nie chcę o tym rozmawiać. A) mi B) mnie C) mną D) mną",mi,Устойчивое выражение 'daj mi spokój' (оставь меня в покое) использует дательный падеж в краткой форме.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,136,0,2025-12-29T11:08:02.325Z,2025-12-29T11:08:02.325Z
137,137,To jest dom ___ rodziców. A) moich B) moje C) moim D) moimi,moich,Родительный падеж множественного числа для притяжательного местоимения 'moi' — 'moich'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,137,0,2025-12-29T11:08:02.326Z,2025-12-29T11:08:02.326Z
138,138,Nie znam ___ w tym mieście. A) nikogo B) nikt C) nikomu D) nikim,nikogo,В отрицательных предложениях отрицательное местоимение 'nikt' ставится в родительный падеж — 'nikogo'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,138,0,2025-12-29T11:08:02.327Z,2025-12-29T11:08:02.327Z
139,139,Czy chcesz ___ do picia? A) czegoś B) coś C) czemuś D) czymś,czegoś,После глагола 'chcieć' в значении 'чего-то немного' или в вопросах часто используется родительный падеж — 'czegoś'.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,139,0,2025-12-29T11:08:02.327Z,2025-12-29T11:08:02.327Z
140,140,Oni bardzo się ___ kochają. A) wzajemnie B) siebie C) sobie D) sobą,wzajemnie,"Хотя 'się' указывает на возвратность, наречие 'wzajemnie' (взаимно) подчеркивает характер отношений между двумя людьми.",,POPRAWNOŚĆ GRAMATYCZNA,Zaimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,140,0,2025-12-29T11:08:02.328Z,2025-12-29T11:08:02.328Z
141,141,Wczoraj przez cały wieczór ___ książkę. A) czytałem B) przeczytałem C) czytałbym D) przeczytałbym,czytałem,"Фраза 'przez cały wieczór' указывает на длительность процесса, поэтому используется несовершенный вид (Aspekt niedokonany) — 'czytałem'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,141,1,2025-12-29T11:08:02.329Z,2025-12-29T11:08:02.329Z
142,142,"Kiedy w końcu ___ ten raport, wyślę go do szefa. A) napiszę B) piszę C) pisałem D) napisałem",napiszę,Контекст указывает на завершение действия в будущем. Используется совершенный вид (Aspekt dokonany) в будущем времени — 'napiszę'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,142,1,2025-12-29T11:08:02.330Z,2025-12-29T11:08:02.330Z
143,143,Zawsze ___ zakupy w этом małym sklepiku obok domu. A) robię B) zrobię C) robiłem D) zrobiłem,robię,"Слово 'zawsze' указывает на повторяющееся, регулярное действие, что требует несовершенного вида (Aspekt niedokonany) — 'robię'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,143,1,2025-12-29T11:08:02.331Z,2025-12-29T11:08:02.331Z
144,144,Czy możesz ___ mi tę historię jeszcze raz? A) opowiedzieć B) opowiadać C) opowiesz D) opowiadasz,opowiedzieć,"В просьбе совершить конкретное, разовое действие используется совершенный вид (Aspekt dokonany) — 'opowiedzieć'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,144,1,2025-12-29T11:08:02.332Z,2025-12-29T11:08:02.332Z
145,145,"On ___ do mnie codziennie, ale dzisiaj jeszcze nie zadzwonił. A) dzwoni B) zadzwoni C) dzwonił D) zadzwonił",dzwoni,"Слово 'codziennie' указывает на привычку или регулярность, что требует несовершенного вида (Aspekt niedokonany) — 'dzwoni'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,145,1,2025-12-29T11:08:02.332Z,2025-12-29T11:08:02.332Z
146,146,Muszę ___ ten list przed wyjściem na pocztę. A) skończyć B) kończyć C) skończę D) kończę,skończyć,Модальный глагол 'muszę' в сочетании с целью завершить действие требует инфинитива совершенного вида — 'skończyć'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,146,1,2025-12-29T11:08:02.333Z,2025-12-29T11:08:02.333Z
147,147,Często ___ o podróży dookoła świata. A) marzę B) pomarzę C) marzyłem D) pomarzyłem,marzę,"Слово 'często' указывает на повторяющееся состояние или действие, что требует несовершенного вида — 'marzę'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,147,0,2025-12-29T11:08:02.334Z,2025-12-29T11:08:02.334Z
148,148,"Wczoraj ___ się na spotkanie, bo autobus się spóźnił. A) spóźniłem B) spóźniałem C) spóźnię D) spóźniać",spóźniłem,"Речь идет о конкретном факте в прошлом, который произошел один раз. Используется совершенный вид — 'spóźniłem'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,148,0,2025-12-29T11:08:02.334Z,2025-12-29T11:08:02.334Z
149,149,"Proszę nie ___ mi teraz, bo jestem bardzo zajęty. A) przeszkadzać B) przeszkodzić C) przeszkadzasz D) przeszkodzisz",przeszkadzać,В запретах (после 'proszę nie' или 'nie wolno') почти всегда используется несовершенный вид — 'przeszkadzać'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,149,0,2025-12-29T11:08:02.335Z,2025-12-29T11:08:02.335Z
150,150,"Kiedy ___ do domu, od razu poszedłem spać. A) wróciłem B) wracałem C) wrócę D) wracam",wróciłem,"Действие 'wrócić' является моментом завершения, после которого последовало другое действие. Используется совершенный вид — 'wrócił'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,150,0,2025-12-29T11:08:02.336Z,2025-12-29T11:08:02.336Z
151,151,Oni ___ ten dom przez ponad dwa lata. A) budowali B) zbudowali C) budują D) zbudują,budowali,Фраза 'przez ponad dwa lata' подчеркивает длительность процесса строительства в прошлом — 'budowali'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,151,0,2025-12-29T11:08:02.336Z,2025-12-29T11:08:02.336Z
152,152,Czy udało ci się ___ bilet na koncert? A) kupić B) kupować C) kupisz D) kupujesz,kupić,"Глагол 'udać się' (удаться) требует результата, поэтому используется совершенный вид — 'kupić'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,152,0,2025-12-29T11:08:02.337Z,2025-12-29T11:08:02.337Z
153,153,"Zanim ___ obiad, muszę umyć ręce. A) zjem B) jem C) jadłem D) zjadłem",zjem,"Действие в будущем, которое произойдет после завершения другого. Используется совершенный вид — 'zjem'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,153,0,2025-12-29T11:08:02.338Z,2025-12-29T11:08:02.338Z
154,154,Każdego ranka ___ kawę i czytam gazetę. A) piję B) wypiję C) piłem D) wypiłem,piję,Регулярное утреннее действие требует настоящего времени несовершенного вида — 'piję'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,154,0,2025-12-29T11:08:02.338Z,2025-12-29T11:08:02.338Z
155,155,"Nareszcie ___ klucze, których szukałem od godziny! A) znalazłem B) znajdowałem C) znajdę D) znajduję",znalazłem,Слово 'nareszcie' (наконец-то) указывает на достижение результата после долгих поисков. Используется совершенный вид — 'znalazłem'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,155,0,2025-12-29T11:08:02.339Z,2025-12-29T11:08:02.339Z
156,156,Nie wolno ___ śmieci na ulicy. A) wyrzucać B) wyrzucić C) wyrzucasz D) wyrzucisz,wyrzucać,"После запрета 'nie wolno' используется несовершенный вид, так как запрет носит общий, постоянный характер — 'wyrzucać'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,156,0,2025-12-29T11:08:02.340Z,2025-12-29T11:08:02.340Z
157,157,"Obiecuję, że ___ do ciebie jutro. A) zadzwonię B) dzwonię C) dzwoniłem D) zadzwoniłem",zadzwonię,Обещание касается конкретного действия в будущем. Используется совершенный вид — 'zadzwonię'.,,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,157,0,2025-12-29T11:08:02.341Z,2025-12-29T11:08:02.341Z
158,158,"Kiedy ___ przez park, spotkałem starą znajomą. A) przechodziłem B) przeszedłem C) przechodzę D) przejdę",przechodziłem,"Действие в прошлом, служившее фоном (процессом) для другого разового события. Используется несовершенный вид — 'przechodziłem'.",,POPRAWNOŚĆ GRAMATYCZNA,Aspekt Czasownika,single_choice,POPRAWNOŚĆ GRAMATYCZNA,158,0,2025-12-29T11:08:02.343Z,2025-12-29T11:08:02.343Z
